year,economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9a,fin9b,fin10,fin11_0,fin11_1,fin11_2,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin13_1,fin13a,fin13b,fin13c,fin13d,fin13e,fin13f,fin13f_1,fin14a,fin14b,fin14c,fin14d,fin14e,fin15,fin16,fin17a,fin17b,fin17c,fin17d,fin17e,fin17f,fin18,fin19,fin20,fin21,fin22a,fin22a_1,fin22b,fin22c,fin22d,fin22e,fin22f,fin22g,fin22h,fin23,fin24,fin24a,fin24b,fin24c,fin24d1,fin24d2,fin24d3,fin25e1,fin25e2,fin25e3,fin25e4,fin26a,fin26b,fin27,fh1,fin28,fh2,fin29,fh2a,fin30,fin31a,fin31b,fin31c,fin31d,fin32,fin33,fin34a,fin34b,fin34c,fin34d,fin35,fin36,fin36a,fin37,fin38,fin39a,fin39b,fin39c,fin39d,fin40,fin41,fin41a,fin42,fin43a,fin43b,fin43c,fin43d,fin44,fin45,internet_use,con1,con2a,con2b,con2c,con2d,con2e,con2f,con2g,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30a,con30b,con30c,con30d,con30e,con30f,con30g,con30h,con31a,con31b,con31c,con31d,con31e,con31f,con31g,con31h,con32,fin46,fin47,fin48a,fin48b,fin48c,fin48d,fin48e,fin48f,fin49a,fin49b,fin49c,fin49d,fin49e,fin49f,fin50,fin51
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112395001,1.197341498,2,20,2,1,1,2,1,1,1,1,1,1,2,4,4,4,1,4,3,1,1,2,2,4,4,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,1,,2,2,,2,2,1,,2,2,2,,,,3,1,1,2,,,,2,2,,3,2,1,3,2,,2,,2,2,,,,,1,1,2,2,1,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,4,1,1,2,2,,2,1,,1,2,,1,1,1,1,1,1,2,1,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112403728,0.907312165,2,47,3,1,1,2,1,1,1,1,1,0,1,4,4,4,0,2,3,1,1,1,1,2,2,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,2,2,2,,2,2,1,,2,2,2,,,,2,1,1,2,,,,2,2,,4,2,1,2,2,,2,,2,1,2,2,,1,1,2,1,2,,,2,1,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,3,1,1,2,1,2,2,1,,1,1,3,,1,2,1,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112442359,1.761501729,2,69,1,5,1,2,1,0,1,1,0,0,4,4,4,4,0,1,3,1,1,1,2,3,3,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,4,2,,,,2,2,,1,2,2,,2,,2,,2,1,1,2,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,3,2,,2,2,,2,1,,1,2,,1,2,2,1,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112508335,0.75172106,1,15,2,3,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,3,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,1,2,2,,2,1,,1,1,3,,1,1,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112583369,0.326234571,1,52,2,4,2,2,0,0,0,0,1,0,4,4,4,4,0,2,2,0,2,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,2,,,,2,1,5,2,,,,,,,,,,,2,,1,2,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,2,1,1,2,2,2,2,1,7,1,1,2,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112654553,0.277834183,2,62,2,2,1,2,1,0,1,0,1,0,4,1,1,4,0,2,2,1,1,2,1,4,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,7,,3,2,,,,2,2,,4,2,2,,2,,1,2,2,1,2,2,,1,2,,,,,,,,,1,1,1,2,,,1,2,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,3,,2,,,3,2,,2,1,2,2,1,,1,2,,2,2,2,2,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112694857,0.7800797,1,44,1,4,2,1,1,0,1,0,1,0,4,1,1,4,0,2,3,1,1,2,1,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,2,2,1,4,2,,,,2,2,,4,2,2,,2,,2,,2,1,2,2,,1,2,,,,,,,,,1,1,1,2,,,1,1,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,1,2,2,1,2,1,1,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112698973,2.889474023,2,27,1,4,1,1,1,0,1,0,1,1,1,4,4,4,0,2,2,1,2,2,1,4,3,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1,2,2,,2,,1,,1,2,1,,,,5,2,2,2,,,,2,2,,4,2,2,,1,2,1,2,1,1,2,2,,1,1,2,1,2,,,2,1,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,2,1,,2,,,1,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112703245,0.714265205,2,33,2,1,2,2,1,0,1,0,1,0,4,1,4,4,0,2,3,1,1,2,1,2,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,7,,1,2,,,,2,2,,1,2,2,,2,,2,,2,1,2,2,,1,2,,,,,,,,,1,2,2,2,2,1,1,2,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,1,2,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,1,2,2,2,1,8,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112871807,2.078632918,1,37,1,3,2,2,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,1,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,2,1,1,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,2,1,2,2,1,2,1,1,4,1,2,2,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112942135,1.807746301,1,24,1,5,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,4,1,4,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,2,2,,2,1,,2,1,2,,1,1,1,1,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112956972,0.554765921,1,29,2,2,1,2,1,1,1,1,1,0,2,4,4,4,0,4,1,1,1,1,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,2,2,2,,2,2,1,,2,2,2,,,,7,,2,2,,,,2,2,,4,2,2,,1,1,1,1,2,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,2,1,,1,1,2,,1,1,1,1,1,2,1,1,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,112996457,0.838631303,1,57,1,2,2,2,1,0,1,1,1,0,4,4,1,4,0,2,3,1,1,1,1,2,2,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,1,,2,,2,2,1,,,,2,1,4,2,,,,2,2,,1,2,2,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,1,1,2,,,1,2,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,1,2,,2,1,2,2,2,2,,,,,,,,,,,,,2,1,2,1,2,2,2,1,2,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113023794,0.341200913,2,35,2,3,1,2,1,0,1,0,0,0,1,4,4,4,0,2,3,1,1,2,1,4,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,7,,4,2,,,,2,2,,4,2,2,,2,,2,,2,1,2,2,,1,1,2,1,2,,,2,1,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,1,1,,1,1,1,,1,1,1,1,1,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113058588,0.622465548,2,32,2,2,1,2,0,0,0,0,1,0,2,4,4,4,0,4,1,0,2,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,1,2,1,2,2,,,,,,,,,,,2,,1,1,1,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,2,2,2,,2,1,,1,2,,1,1,1,1,1,1,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113127543,0.871387114,2,60,1,5,1,1,0,0,0,0,1,1,2,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,1,,,,,2,2,,2,,1,1,1,2,1,,,,2,1,4,1,2,2,,,,,,,,,2,,2,,1,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,1,2,2,2,2,,,,,,,,,,,,,1,2,2,1,2,2,2,1,1,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113199230,1.57692456,1,37,1,3,2,2,0,0,0,0,1,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,7,,4,2,,,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,2,1,2,2,1,2,2,1,4,1,2,2,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113227904,2.222913377,2,26,1,4,1,1,0,0,0,0,1,0,2,4,4,4,0,2,2,0,2,,,,,,,,,,2,2,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,2,2,2,,,,2,2,2,,2,2,1,,2,2,1,,,,2,2,2,2,,,,2,2,,4,2,1,2,1,2,2,,1,1,2,2,,1,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,4,1,1,2,2,,2,1,,1,1,2,,1,1,1,1,1,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113313570,1.070171857,1,47,3,3,2,2,0,0,0,0,0,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,4,2,,,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,1,8,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113392237,2.889474023,2,28,1,5,1,1,0,1,1,1,1,1,4,4,4,4,0,2,1,1,2,,,,,,,,,,2,1,1,2,2,2,2,3,2,,,,,,,,,,,,,,,,2,1,1,2,2,2,,1,2,,2,2,2,1,2,2,1,,,,2,3,1,2,,,,2,2,,1,2,2,,2,,1,1,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,1,1,,1,1,3,,1,1,1,1,1,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113440179,1.435938834,1,33,3,5,2,1,0,0,0,0,0,1,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,2,,1,,,,,2,2,,2,,2,2,2,2,2,,,2,1,1,4,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,3,,1,1,1,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113509844,1.183996403,1,46,1,5,2,1,0,0,0,0,1,0,4,4,4,4,0,2,2,0,2,,,,,,,,,,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,2,3,2,2,,,,,,,,,,,2,,1,2,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,1,,1,1,,2,,,2,1,2,2,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113636132,0.300959026,2,36,2,1,1,2,0,0,0,0,1,0,2,4,4,4,0,2,2,0,2,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,1,,,,7,,4,2,,,,,,,,,,,2,,1,2,2,1,2,2,,1,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,2,1,,2,,,3,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113658458,0.599244395,2,59,2,4,1,2,1,0,1,0,1,0,1,4,4,4,0,2,3,1,2,2,1,4,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,1,,2,,2,2,2,,,,2,2,4,2,,,,2,2,,4,2,2,,2,,2,,2,1,2,2,,1,1,1,1,2,,,2,1,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,1,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,1,8,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113847706,1.254218476,1,65,1,2,2,2,1,0,1,0,1,0,4,4,1,4,0,4,3,1,1,2,1,2,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,2,5,1,2,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,1,1,2,,,1,2,,2,,,,,,1,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,4,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,113965175,0.257212146,1,69,2,5,2,2,1,0,1,0,0,0,4,4,1,4,0,4,3,1,1,2,1,4,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,1,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,1,1,2,,,1,2,,2,,,,,,3,0,1,,,,,,,,,,,,,,1,,1,1,,1,,2,2,2,,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
2024,"Egypt, Arab Rep.",EGY,Middle East & North Africa (excluding high income),77385958,114271664,0.498100617,1,22,2,5,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,1,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,2,1,,1,2,,1,1,1,1,2,2,2,2,2,,,,,,,,,,1,2,,,,,,,,,,,,,,
